symbol,exit_method,trades,total_return,average_return,median_return,win_rate,max_drawdown,profit_factor,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_max_drawdown,validation_profit_factor,validation_sell_early_median_6h,validation_stop_rate,exit_eligible,exit_score,turnover24h,age_days
AAVEUSDT,structure_mfe50_act125,66,-0.11382647819407088,-0.001788041442166668,0.0010065932520674234,0.5151515151515151,-0.14038144384845308,0.6243155706583005,-0.10153387638581235,9,-0.013681764381733297,-0.0015152480272135024,0.000992712366203797,0.5555555555555556,-0.014619005683110142,0.5321868720809029,0.013466674242854637,1.0,False,,22909129.8578,1909.199784849537
AAVEUSDT,structure_mfe40_act100,66,-0.04905656919022583,-0.0007209980473303814,0.0019387088033929753,0.6060606060606061,-0.08451213182544315,0.8142330424845173,-0.033857337407794175,9,-0.015731871048579205,-0.0017473984868476224,0.0013912548394444677,0.5555555555555556,-0.014408957371600084,0.4605134359709008,0.01292913246844929,1.0,False,,22909129.8578,1909.199784849537
AAVEUSDT,structure_time_staged_mfe,66,-0.07433721005950578,-0.001133902906659555,0.0015254991158691897,0.6060606060606061,-0.10277987747996897,0.7078470685627447,-0.05884632263095113,9,-0.01645946650483132,-0.001829705405658694,0.000992712366203797,0.5555555555555556,-0.014408957371600084,0.4351022449006185,0.012320328542094527,1.0,False,,22909129.8578,1909.199784849537
AAVEUSDT,structure_time_smart_reversal,66,-0.07433721005950578,-0.001133902906659555,0.0015254991158691897,0.6060606060606061,-0.10277987747996897,0.7078470685627447,-0.05884632263095113,9,-0.01645946650483132,-0.001829705405658694,0.000992712366203797,0.5555555555555556,-0.014408957371600084,0.4351022449006185,0.012320328542094527,1.0,False,,22909129.8578,1909.199784849537
AAVEUSDT,structure_atr_trail_1.5,66,-0.13182078148783805,-0.0021009210991273374,-0.0023259054032057627,0.2878787878787879,-0.15047141605580627,0.5358273672408134,-0.1043766923843431,9,-0.030642446294254055,-0.0034444639816818305,-0.0034188144540506773,0.2222222222222222,-0.022445518543210752,0.10521874332518223,0.015260032214471808,1.0,False,,22909129.8578,1909.199784849537
FLOWUSDT,structure_mfe30_act075,60,0.01010660701421151,0.00019626238155820476,0.0020530071355759913,0.65,-0.045006879421668256,1.0687077285892144,0.04191265718931203,20,-0.030526599284148026,-0.0015366806353509005,0.0007697394010112166,0.55,-0.03770370103104137,0.472222580234972,0.009378934875495903,1.0,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_mfe40_act100,60,0.03876034653041871,0.0006979738543582916,0.0016749018047554918,0.5833333333333334,-0.06402082927227604,1.1991435649114732,0.07787215161998406,20,-0.036286126356249726,-0.001834496141431529,-0.0017423117989827088,0.5,-0.044438253465594046,0.41549995586751964,0.00979219056250491,1.0,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_time_staged_mfe,60,0.046308502292824905,0.000817500752110334,0.0013267410356065943,0.5833333333333334,-0.06124385422018708,1.233246579476446,0.0902128794821766,20,-0.040271380035617255,-0.002042312765696463,-0.0018589979133351578,0.5,-0.04724188211812308,0.3492862292147451,0.00979219056250491,1.0,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_time_smart_reversal,60,0.046308502292824905,0.000817500752110334,0.0013267410356065943,0.5833333333333334,-0.06124385422018708,1.233246579476446,0.0902128794821766,20,-0.040271380035617255,-0.002042312765696463,-0.0018589979133351578,0.5,-0.04724188211812308,0.3492862292147451,0.00979219056250491,1.0,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_fixed6,60,0.050134410097745,0.0009662923901773852,-0.006700077042921969,0.3,-0.10192999698180893,1.1742090796922986,0.10029598059069245,20,-0.045589160896523984,-0.002303742992053731,-0.004862337076341704,0.25,-0.043801489730695864,0.49594044652024843,0.007958368644394365,0.7,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_rolling_high,60,0.011476724365077962,0.0002961650603954221,-0.006297583643131487,0.31666666666666665,-0.09109265989314952,1.0530522086525482,0.06895838707348578,20,-0.053773527017994316,-0.0027438945613007023,-0.0040158753195135835,0.25,-0.04719527464129003,0.3426984299650504,0.00979219056250491,0.6,False,,512229.9218,1712.9227015162037
FLOWUSDT,structure_atr_trail_1.5,60,0.026084964212071515,0.0005068778754384331,-0.0025595166218817514,0.38333333333333336,-0.05543441087476553,1.1278419818553418,0.0863035622145969,20,-0.05543441087476564,-0.002838080639073153,-0.0036605407299950534,0.25,-0.05416641062402383,0.1860548783995598,0.00979219056250491,1.0,False,,512229.9218,1712.9227015162037
