symbol,turnover24h,age_days,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_median,validation_win_rate,stage1_score
KMNOUSDT,174287.2019,664.2194492013889,13,0.0689091117777747,0.005320676243740014,-0.004993793698034764,0.38461538461538464,-0.022033934458043136,0.013811854192207651,11,0.05434662985812855,-0.004993793698034764,0.36363636363636365,0.7184584178498986
MOCAUSDT,142110.7622,753.1742987384259,19,0.09065833263489043,0.0047416709965953695,-0.004690600666577226,0.3684210526315789,-0.04313644522603277,0.05250795715520051,15,0.03624711359219157,-0.0054155015814739684,0.26666666666666666,0.7153651115618661
PUMPFUNUSDT,40511745.699,390.4327478125,15,0.027493017742804327,0.002028241584339896,-0.005297288150690304,0.4666666666666667,-0.04489449513339394,0.031047254886938047,11,-0.0034472107144336572,-0.00659685259742726,0.36363636363636365,0.7141480730223124
TRUMPUSDT,7894487.5593,563.3172964236111,35,0.08204929357586876,0.00237200688050809,-0.005630367772108901,0.4,-0.08244311587559616,0.04158097489410495,28,0.03885278212371124,-0.006256951977793245,0.32142857142857145,0.7130831643002029
MOODENGUSDT,523137.3315,672.2983265162037,17,0.06940046539767297,0.004244538399343363,-0.005662363082359677,0.4117647058823529,-0.03785233240688257,0.029610955283922324,12,0.03864518914600912,-0.006395568452969346,0.3333333333333333,0.7100405679513184
SOLAYERUSDT,187440.5527,538.9970533680555,25,0.04488032268732822,0.0018696674581264363,-0.0008478624676705451,0.48,-0.0653469347052772,0.008210555161171307,18,0.036371140272673186,-0.004824841466472828,0.3888888888888889,0.7094827586206897
GRTUSDT,454349.4382,1702.5893681828704,25,0.02796227827519493,0.00117732968962347,-0.0038125386477092507,0.4,-0.03721425358777741,0.03970658628170254,20,-0.011295790717753218,-0.0041059860377355975,0.35,0.7090263691683569
ARCUSDT,772405.7605,578.2447154050926,17,0.10283988865570204,0.006381151198188404,-0.005097534018582372,0.29411764705882354,-0.04870417637925506,-0.0032367617790662884,15,0.106421110216804,-0.005097534018582372,0.26666666666666666,0.7056288032454362
GIGGLEUSDT,13071488.3338,299.07997003472224,18,0.10276629906917623,0.00620760177204467,-0.005414852017216642,0.2777777777777778,-0.0526072806206106,-0.013961912331311277,16,0.11838103706163183,-0.005414852017216642,0.3125,0.7046146044624747
ASRUSDT,13616.5088,355.201659849537,13,0.2627856794887209,0.02048244031971604,-0.006198876737774971,0.38461538461538464,-0.03320813442484738,0.27544290314590025,12,-0.00992378696526508,-0.006582717039629093,0.3333333333333333,0.7041582150101421
SAPIENUSDT,114770.7171,348.8674005902778,14,0.06674845166944121,0.004825552790609485,-0.003642625450788194,0.35714285714285715,-0.037051381176403164,0.10048474170685551,10,-0.030655845336927556,-0.004369544586832529,0.2,0.7035496957403651
MUBARAKUSDT,595327.7067,505.2688126273148,14,0.04284035613174364,0.0031563408796972314,-0.005409487364289866,0.42857142857142855,-0.030038135030586277,0.0037886161968170295,11,0.038904346298413994,-0.005919164032125667,0.36363636363636365,0.701369168356998
VVVUSDT,4624704.5136,553.4006529050926,17,0.10388655925173085,0.006288345028730004,-0.00676830255230576,0.35294117647058826,-0.04780005172665447,-0.04293224746333013,15,0.1534048204277325,-0.0057521210878542775,0.4,0.6987829614604463
MORPHOUSDT,1530589.909,620.2310464236111,20,0.0061183559579804925,0.0003755804533650209,-0.0031230177009654017,0.45,-0.04431171994179084,-0.0010746049727706763,18,0.007200698837529496,-0.0031230177009654017,0.4444444444444444,0.6944726166328601
SLPUSDT,27444.6574,1720.9227015162037,14,0.08063045448688588,0.005690271282494235,-0.004854000923704248,0.35714285714285715,-0.02788787892634048,-0.025398828711875265,10,0.10879248488755966,0.008283839515184521,0.5,0.6939148073022313
RAREUSDT,54617.396,981.3059885532407,18,0.021359770407134437,0.0012116527902808919,-0.001525031872739723,0.5,-0.035391604430310974,0.0009941199151768387,13,0.020345424700080494,9.547484621219657e-05,0.5384615384615384,0.693052738336714
ALICEUSDT,72938.1054,1744.5893681828704,18,0.04391569716697319,0.002475146919136183,-0.003914099651960822,0.3888888888888889,-0.024517207446849043,0.038527496984506415,14,0.005188307674194315,-0.004856013932156677,0.35714285714285715,0.6916328600405679
DEEPUSDT,248449.27,656.0968450347223,16,0.05611163345487191,0.0035758096957647853,-0.005289958008061756,0.375,-0.02258450223798114,-0.005129520487472172,11,0.061556911380415524,-0.005850891777465893,0.36363636363636365,0.6846348884381339
WOOUSDT,287936.9007,1729.5893681828704,17,0.01854760437050129,0.0011330275971581914,-0.004501755269319173,0.47058823529411764,-0.03450932869639467,-0.007977467980089359,12,0.02673837689611913,-0.0011664309063280079,0.5,0.6832150101419878
GPSUSDT,844483.0682,532.2451204976852,12,0.0013904922691487798,0.0002601859385050753,-0.0019928604559222842,0.5,-0.05108118474517376,0.04787754102252051,8,-0.04436305477833746,-0.007477171064354748,0.375,0.6802738336713996
