symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
BANANAUSDT,133816.5335,746.1381760532407,structure_rolling_high,0.8300000000000002,best_daily_stop_exit_validation_score,41,0.14472966575789714,0.0034976442944675713,-0.005928388288048979,0.3902439024390244,-0.05646636411890038,0.09927120427592384,6,0.041353272336389635,0.007008598234780616,-0.0076656354913388625,0.3333333333333333,2.2913731360202942,0.007981204208398984,relaxed,True,0.5163846153846153
WAXPUSDT,3968934.0587,1029.3242177199074,structure_rolling_high,0.8300000000000002,best_daily_stop_exit_validation_score,63,0.16636810198750718,0.0025358494583596846,-0.004371075434947635,0.4126984126984127,-0.053070286936989675,0.12890004376593978,19,0.03318988109574006,0.0018295534683722137,-0.004831179616061831,0.3684210526315789,1.4108702526169299,0.0069295101553163985,relaxed,True,0.5153846153846152
SPXUSDT,2073001.7373,644.3174121643518,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,62,0.29314640769339784,0.004391871493514257,-0.006419230199041558,0.45161290322580644,-0.09892545844870859,0.23605434861358954,21,0.04618895531887057,0.0022690686045694036,-0.007957226241395499,0.42857142857142855,1.384523446547575,0.015395769233855106,relaxed,True,0.5120769230769231
GMXUSDT,118933.7578,1394.2934191087963,structure_rolling_high,0.8833333333333333,best_daily_stop_exit_validation_score,36,0.06100769021882235,0.0017729079009631246,-0.0060347514690002315,0.3611111111111111,-0.06926043125076031,0.019022585588502006,6,0.04120134845301093,0.006840242502826425,0.006576421432614721,0.6666666666666666,3.346156078127876,0.012660916676888179,relaxed,True,0.506
QUSDT,166397.7468,326.1405024421296,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,34,0.07019669622912583,0.002358962398155633,-0.0024150122644984165,0.47058823529411764,-0.10078421436149942,0.03144111611757516,5,0.037574205163964924,0.007474841090253625,0.004357237776309587,0.8,4.758292578521747,0.017141691812094795,relaxed,True,0.5019423076923077
CFXUSDT,1654124.713,1261.2106066087963,structure_rolling_high,0.8600000000000001,best_daily_stop_exit_validation_score,46,0.07283222471867767,0.0016525919465643828,-0.005022961690298643,0.43478260869565216,-0.08752726258757138,0.03331442487947789,14,0.03824373190552177,0.0027260896751841496,0.005153440446634129,0.5714285714285714,1.9239181770042737,0.007383548328124601,relaxed,True,0.5015384615384615
BELUSDT,221674.6077,1509.3395417939814,structure_atr_trail_1.5,0.8216666666666667,best_daily_stop_exit_validation_score,53,0.08948485614402668,0.0016982348436360415,-0.0002612293144207403,0.49056603773584906,-0.08498163348385601,0.05195879469797693,12,0.03567255831234695,0.0029601105429976717,0.003277203604989843,0.5833333333333334,2.3873381685449186,0.012836522615740087,relaxed,True,0.49534615384615394
JELLYJELLYUSDT,271844.5683,551.3079908680555,structure_rolling_high,0.7400000000000001,best_daily_stop_exit_validation_score,47,0.12071085367609369,0.0026441118222310573,-0.0059122247614834525,0.44680851063829785,-0.11741414243071546,0.055673980291528036,12,0.06160696824847878,0.005305013535313309,-0.005253464849453992,0.4166666666666667,1.974692782276407,0.015182984023106916,relaxed,True,0.49432692307692305
ALTUSDT,338886.1656,922.1187779050925,structure_rolling_high,0.7599999999999999,best_daily_stop_exit_validation_score,60,0.0830069448758688,0.0014517266228567785,-0.005524004844258689,0.4,-0.0961858937435941,0.021160289929127662,18,0.060565080288261575,0.0033271766431722436,0.00014530720362771008,0.5,2.112873410252869,0.01058977721114529,relaxed,True,0.4895769230769231
ALCHUSDT,190844.2911,574.2753519791667,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,60,0.11992435676970548,0.002079246528140168,-0.006340040408142954,0.36666666666666664,-0.10415746003847015,0.06994931396076187,15,0.046707860042402016,0.0032378886111614547,-0.006420067266239226,0.3333333333333333,1.5456268202460393,0.0148042975350271,relaxed,True,0.4612307692307692
